# GF(3) Sparse Polynomial Search — Degree 21
# Generated : 2026-03-29 18:14:17
# Filter    : leading coeff=1, a0!=0, s2<s1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   d | f(x)                                                              | f(x)^2 mod 3                                                      |   s1 |   s2 |  drop | criterion           
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# --- Winner 1: Minimum s2 (then maximum s1) ---
  21 | x**21 + x**18 + x**15 + 2*x**12 + 2*x**9 + x**6 + x**3 + 1        | x**42 + 2*x**39 + x**27 + 2*x**21 + x**15 + 2*x**3 + 1            |    8 |    7 |     1 | min s2 / max s1     
  21 | 2*x**21 + 2*x**18 + 2*x**15 + x**12 + x**9 + 2*x**6 + 2*x**3 + 2  | x**42 + 2*x**39 + x**27 + 2*x**21 + x**15 + 2*x**3 + 1            |    8 |    7 |     1 | min s2 / max s1     
  21 | x**21 + x**18 + x**15 + 2*x**12 + x**9 + x**6 + 2*x**3 + 1        | x**42 + 2*x**39 + x**30 + 2*x**27 + 2*x**18 + x**3 + 1            |    8 |    7 |     1 | min s2 / max s1     
  21 | 2*x**21 + 2*x**18 + 2*x**15 + x**12 + 2*x**9 + 2*x**6 + x**3 + 2  | x**42 + 2*x**39 + x**30 + 2*x**27 + 2*x**18 + x**3 + 1            |    8 |    7 |     1 | min s2 / max s1     
  21 | x**21 + x**18 + x**15 + 2*x**12 + 2*x**9 + 2*x**6 + 2*x**3 + 1    | x**42 + 2*x**39 + x**24 + x**12 + 2*x**6 + x**3 + 1               |    8 |    7 |     1 | min s2 / max s1     
  21 | 2*x**21 + 2*x**18 + 2*x**15 + x**12 + x**9 + x**6 + x**3 + 2      | x**42 + 2*x**39 + x**24 + x**12 + 2*x**6 + x**3 + 1               |    8 |    7 |     1 | min s2 / max s1     
  21 | x**21 + x**18 + x**15 + 2*x**12 + 2*x**9 + 2*x**6 + x**3 + 2      | x**42 + 2*x**39 + 2*x**24 + x**15 + x**12 + x**3 + 1              |    8 |    7 |     1 | min s2 / max s1     
  21 | 2*x**21 + 2*x**18 + 2*x**15 + x**12 + x**9 + x**6 + 2*x**3 + 1    | x**42 + 2*x**39 + 2*x**24 + x**15 + x**12 + x**3 + 1              |    8 |    7 |     1 | min s2 / max s1     
  21 | x**21 + x**18 + 2*x**15 + x**12 + 2*x**9 + 2*x**6 + x**3 + 2      | x**42 + 2*x**39 + 2*x**36 + x**30 + x**18 + x**3 + 1              |    8 |    7 |     1 | min s2 / max s1     
  21 | 2*x**21 + 2*x**18 + x**15 + 2*x**12 + x**9 + x**6 + 2*x**3 + 1    | x**42 + 2*x**39 + 2*x**36 + x**30 + x**18 + x**3 + 1              |    8 |    7 |     1 | min s2 / max s1     
  21 | x**21 + 2*x**18 + x**15 + x**12 + 2*x**9 + x**6 + x**3 + 1        | x**42 + x**39 + 2*x**24 + 2*x**15 + x**12 + 2*x**3 + 1            |    8 |    7 |     1 | min s2 / max s1     
  21 | 2*x**21 + x**18 + 2*x**15 + 2*x**12 + x**9 + 2*x**6 + 2*x**3 + 2  | x**42 + x**39 + 2*x**24 + 2*x**15 + x**12 + 2*x**3 + 1            |    8 |    7 |     1 | min s2 / max s1     
  21 | x**21 + 2*x**18 + x**15 + x**12 + 2*x**9 + 2*x**6 + x**3 + 2      | x**42 + x**39 + 2*x**27 + x**21 + 2*x**15 + x**3 + 1              |    8 |    7 |     1 | min s2 / max s1     
  21 | 2*x**21 + x**18 + 2*x**15 + 2*x**12 + x**9 + x**6 + 2*x**3 + 1    | x**42 + x**39 + 2*x**27 + x**21 + 2*x**15 + x**3 + 1              |    8 |    7 |     1 | min s2 / max s1     
  21 | x**21 + 2*x**18 + x**15 + x**12 + 2*x**9 + x**6 + 2*x**3 + 2      | x**42 + x**39 + x**24 + x**12 + 2*x**6 + 2*x**3 + 1               |    8 |    7 |     1 | min s2 / max s1     
  21 | 2*x**21 + x**18 + 2*x**15 + 2*x**12 + x**9 + 2*x**6 + x**3 + 1    | x**42 + x**39 + x**24 + x**12 + 2*x**6 + 2*x**3 + 1               |    8 |    7 |     1 | min s2 / max s1     
  21 | x**21 + 2*x**18 + x**15 + x**12 + x**9 + 2*x**6 + 2*x**3 + 2      | x**42 + x**39 + x**30 + x**27 + 2*x**18 + 2*x**3 + 1              |    8 |    7 |     1 | min s2 / max s1     
